Region;cartodb_id;Okrug;Year;VVP;Glubina_voronki;Dolya_innovatsionno_aktivnykh_organizatsiy;Dolya_innovatsionnykh_produktov;Dokhody_regionalnogo_byudzheta;Raskhody_regionalnogo_byudzheta;Investitsii_v_osnovnoy_kapital;Saldirovanniy_finansoviy_rezultat_deyatelnosti_predpriyatiy;Saldo_regionalnogo_byudzheta;Year_etalon
Алтайский край;17;Сибирский федеральный округ;2005;538124;4;101;64;293978;283013;8465;-786;10965;2001
Алтайский край;17;Сибирский федеральный округ;2006;686107;3;91;72;358898;349648;11560;-1727;9250;2003
Алтайский край;17;Сибирский федеральный округ;2007;888605;3;89;36;470867;46335;16950;10520;424532;2004
Алтайский край;17;Сибирский федеральный округ;2008;1036283;4;72;44;599013;587601;22363;8822;11412;2004
Алтайский край;17;Сибирский федеральный округ;2009;1072824;5;76;4;655134;661805;17500;8230;-6671;2004
Алтайский край;17;Сибирский федеральный округ;2010;1249558;5;82;34;723758;673226;22516;24045;50532;2005
Алтайский край;17;Сибирский федеральный округ;2011;1376772;6;11;25;81204;808896;29146;18492;-727692;2005
Алтайский край;17;Сибирский федеральный округ;2012;1535567;6;105;26;82275;868945;34895;20903;-786670;2006
Алтайский край;17;Сибирский федеральный округ;2013;1737635;7;113;39;875566;88326;39498;18191;787240;2006
Алтайский край;17;Сибирский федеральный округ;2014;1867986;7;114;43;945497;957134;41747;16919;-11637;2007
Алтайский край;17;Сибирский федеральный округ;2015;2049331;8;12;39;955091;981568;32988;31175;-26477;2007
Алтайский край;17;Сибирский федеральный округ;2016;2116581;9;124;46;994647;942914;31749;27461;51733;2007
Алтайский край;17;Сибирский федеральный округ;2017;2177651;9;163;4;1020671;997721;37256;36072;22950;2008
Алтайский край;17;Сибирский федеральный округ;2018;2348859;10;154;28;1197632;1109745;46948;32799;87887;2008
Алтайский край;17;Сибирский федеральный округ;2019;2701723;9;129;31;1264566;1260161;48504;44962;4405;2010
Алтайский край;17;Сибирский федеральный округ;2020;2879065;10;195;26;1542731;1483255;52820;59342;59476;2010
Алтайский край;17;Сибирский федеральный округ;2021;3704343;8;171;25;1733393;1645064;54716;110405;88329;2013
Алтайский край;17;Сибирский федеральный округ;2022;4766185;6;14;22;185848;1955521;68068;88598;-1769673;2016
Алтайский край;17;Сибирский федеральный округ;2023;613240;5;67;2;280115;354155;68212;136431;-74040;2018
Амурская область;81;Дальневосточный федеральный округ;2005;885971;1;13;1;183722;180006;27368;1407;3716;2004
Амурская область;81;Дальневосточный федеральный округ;2006;1083223;2;75;13;207785;21268;32638;2034;186517;2004
Амурская область;81;Дальневосточный федеральный округ;2007;1281496;2;75;24;281293;278958;52382;3979;2335;2005
Амурская область;81;Дальневосточный федеральный округ;2008;1517394;2;65;31;356644;345118;76185;-23122;11526;2006
Амурская область;81;Дальневосточный федеральный округ;2009;1759278;2;62;18;402164;411947;115584;21049;-9783;2007
Амурская область;81;Дальневосточный федеральный округ;2010;2148272;1;59;17;454149;457623;100858;20725;-3474;2009
Амурская область;81;Дальневосточный федеральный округ;2011;2731758;1;71;36;505277;543755;143370;14472;-38478;2010
Амурская область;81;Дальневосточный федеральный округ;2012;2800239;2;78;42;519979;585677;138035;19108;-65698;2010
Амурская область;81;Дальневосточный федеральный округ;2013;258817;3;64;47;757172;785304;125297;5990;-28132;2010
Амурская область;81;Дальневосточный федеральный округ;2014;2862826;4;61;47;537783;654272;94224;7718;-116489;2010
Амурская область;81;Дальневосточный федеральный округ;2015;3433857;3;54;28;521491;564266;126537;19479;-42775;2012
Амурская область;81;Дальневосточный федеральный округ;2016;3373021;4;61;1;578037;542928;161519;19419;35109;2012
Амурская область;81;Дальневосточный федеральный округ;2017;3380557;3;81;9;580989;576505;240560;4409;4484;2014
Амурская область;81;Дальневосточный федеральный округ;2018;3783187;4;63;11;652833;647723;301209;10131;5110;2014
Амурская область;81;Дальневосточный федеральный округ;2019;4997571;2;51;11;834592;781208;430720;26508;53384;2017
Амурская область;81;Дальневосточный федеральный округ;2020;5716908;2;67;8;1051512;1030442;436941;-40461;21070;2018
Амурская область;81;Дальневосточный федеральный округ;2021;6831679;1;59;5;1186295;1237707;530377;47200;-51412;2020
Амурская область;81;Дальневосточный федеральный округ;2022;8163825;-2;68;3;1219449;1298979;610703;-638536;-79530;2024
Амурская область;81;Дальневосточный федеральный округ;2023;975573;-1;15;0;210298;414884;456148;143885;-204586;2024
Архангельская область;2;Северо-Западный федеральный округ;2005;1289653;0;84;4;224509;222308;36969;12824;2201;2005
Архангельская область;2;Северо-Западный федеральный округ;2006;1679392;0;86;3;274621;27129;68762;189;247492;2006
Архангельская область;2;Северо-Западный федеральный округ;2007;2105528;-2;99;1;391857;366112;102382;1087;25745;2009
Архангельская область;2;Северо-Западный федеральный округ;2008;2287024;0;8;1;514893;557905;114938;-21059;-43012;2008
Архангельская область;2;Северо-Западный федеральный округ;2009;2567284;-1;88;3;492644;556887;52455;16936;-64243;2010
Архангельская область;2;Северо-Западный федеральный округ;2010;3028013;-1;9;4;609693;611888;80967;31838;-2195;2011
Архангельская область;2;Северо-Западный федеральный округ;2011;3601659;-1;93;2;628073;684188;110500;-12070;-56115;2012
Архангельская область;2;Северо-Западный федеральный округ;2012;3911462;-2;82;113;657868;709061;134541;-21272;-51193;2014
Архангельская область;2;Северо-Западный федеральный округ;2013;4177764;-1;54;289;733709;791295;131388;-6004;-57586;2014
Архангельская область;2;Северо-Западный федеральный округ;2014;4569858;-1;5;14;754399;827978;132811;-31616;-73579;2015
Архангельская область;2;Северо-Западный федеральный округ;2015;5325337;-3;58;27;784143;812035;146111;14705;-27892;2018
Архангельская область;2;Северо-Западный федеральный округ;2016;5816516;-3;49;5;762779;817175;144824;55278;-54396;2019
Архангельская область;2;Северо-Западный федеральный округ;2017;6256564;-3;83;153;834092;843541;185708;46764;-9449;2020
Архангельская область;2;Северо-Западный федеральный округ;2018;7126527;-4;67;56;93151;899322;166425;31702;-806171;2022
Архангельская область;2;Северо-Западный федеральный округ;2019;7804554;-4;4;18;1078886;1039971;169388;46981;38915;2023
Архангельская область;2;Северо-Западный федеральный округ;2020;6907791;0;44;76;1133014;1284153;175641;191;-151139;2020
Архангельская область;2;Северо-Западный федеральный округ;2021;9417625;-3;41;28;134048;1383545;161189;37099;-1249497;2024
Архангельская область;2;Северо-Западный федеральный округ;2022;1283937;-2;46;13;1567104;161198;190557;86091;1405906;2024
Архангельская область;2;Северо-Западный федеральный округ;2023;1750434;-1;6;572;131224;373871;195819;0;-242646;2024
Астраханская область;33;Южный федеральный округ;2005;69814;2;9;11;117924;125293;21545;3525;-7369;2003
Астраханская область;33;Южный федеральный округ;2006;856115;3;37;2;156476;168687;29556;2606;-12211;2003
Астраханская область;33;Южный федеральный округ;2007;1006106;3;71;2;276134;278489;50095;4257;-2355;2004
Астраханская область;33;Южный федеральный округ;2008;1470994;2;69;3;345466;363694;68065;21857;-18228;2006
Астраханская область;33;Южный федеральный округ;2009;1314001;4;99;6;286017;333756;62704;-1074;-47739;2005
Астраханская область;33;Южный федеральный округ;2010;1433888;4;128;31;273776;310741;59243;-3640;-36965;2006
Астраханская область;33;Южный федеральный округ;2011;1705047;5;52;28;331777;351344;68179;-4092;-19567;2006
Астраханская область;33;Южный федеральный округ;2012;2066771;5;58;7;358293;363621;80505;420;-5328;2007
Астраханская область;33;Южный федеральный округ;2013;2698217;3;9;18;397497;424018;120785;15663;-26521;2010
Астраханская область;33;Южный федеральный округ;2014;2908222;3;124;49;394292;451387;114688;-1430;-57095;2011
Астраханская область;33;Южный федеральный округ;2015;3159969;4;121;54;38627;421527;110955;7098;-382900;2011
Астраханская область;33;Южный федеральный округ;2016;3403983;5;91;58;388635;404578;115828;-6015;-15943;2011
Астраханская область;33;Южный федеральный округ;2017;4130877;5;114;2;437893;419103;144040;58736;18790;2012
Астраханская область;33;Южный федеральный округ;2018;5447934;0;104;1;559818;487899;105016;127293;71919;2018
Астраханская область;33;Южный федеральный округ;2019;5958975;1;72;3;591079;541954;103256;127181;49125;2018
Астраханская область;33;Южный федеральный округ;2020;5263533;3;53;2;644626;662735;111404;67161;-18109;2017
Астраханская область;33;Южный федеральный округ;2021;6612449;2;77;2;762677;731482;116227;165455;31195;2019
Астраханская область;33;Южный федеральный округ;2022;8307059;-2;61;1;919275;863947;90252;218162;55328;2024
Астраханская область;33;Южный федеральный округ;2023;1043596;-1;2;0;83617;166100;139913;9890;-82483;2024
Белгородская область;26;Центральный федеральный округ;2005;959112;1;87;15;247307;257839;23167;39917;-10532;2004
Белгородская область;26;Центральный федеральный округ;2006;1182433;1;12;11;29485;310985;34428;39807;-281500;2005
Белгородская область;26;Центральный федеральный округ;2007;1563022;1;16;53;415165;423665;55072;65587;-8500;2006
Белгородская область;26;Центральный федеральный округ;2008;2086947;1;108;104;568527;590638;68469;72595;-22111;2007
Белгородская область;26;Центральный федеральный округ;2009;1992291;2;111;41;557382;608482;51082;27967;-51100;2007
Белгородская область;26;Центральный федеральный округ;2010;2600156;0;109;26;635128;651057;62865;77244;-15929;2010
Белгородская область;26;Центральный федеральный округ;2011;331010;0;122;37;813949;837803;82123;130561;-23854;2011
Белгородская область;26;Центральный федеральный округ;2012;3545706;0;92;4;780562;826533;88929;112814;-45971;2012
Белгородская область;26;Центральный федеральный округ;2013;3688748;0;96;43;773472;872485;83891;85118;-99013;2013
Белгородская область;26;Центральный федеральный округ;2014;4008208;0;115;44;775806;791995;78044;178309;-16189;2014
Белгородская область;26;Центральный федеральный округ;2015;4476197;0;127;5;810819;83670;95036;57605;727149;2015
Белгородская область;26;Центральный федеральный округ;2016;4699216;0;141;73;821216;851806;92679;216056;-30590;2016
Белгородская область;26;Центральный федеральный округ;2017;5061678;0;198;116;968004;956584;91978;138538;11420;2017
Белгородская область;26;Центральный федеральный округ;2018;5591842;0;182;149;1134961;1057966;86631;206103;76995;2018
Белгородская область;26;Центральный федеральный округ;2019;6170246;1;151;139;1232215;1241725;107921;208592;-9510;2018
Белгородская область;26;Центральный федеральный округ;2020;645436;1;18;141;1334629;1332205;108803;361270;2424;2019
Белгородская область;26;Центральный федеральный округ;2021;8817006;-3;17;116;1842308;1513007;109836;940835;329301;2024
Белгородская область;26;Центральный федеральный округ;2022;1204451;-2;151;103;1668678;1960951;126882;271373;-292273;2024
Белгородская область;26;Центральный федеральный округ;2023;1645345;-1;30;15;169583;265992;111492;1876872;-96409;2024
Брянская область;27;Центральный федеральный округ;2005;499234;4;62;113;134538;141058;6360;4391;-6520;2001
Брянская область;27;Центральный федеральный округ;2006;619871;4;8;82;175882;177862;9409;5564;-1980;2002
Брянская область;27;Центральный федеральный округ;2007;782206;4;96;96;222682;230111;16001;5718;-7429;2003
Брянская область;27;Центральный федеральный округ;2008;964926;4;73;113;265633;281924;19399;7296;-16291;2004
Брянская область;27;Центральный федеральный округ;2009;973822;5;79;123;313853;311211;21020;24508;2642;2004
Брянская область;27;Центральный федеральный округ;2010;1147776;5;88;47;327499;338039;32780;22189;-10540;2005
Брянская область;27;Центральный федеральный округ;2011;1371871;6;96;6;385252;386332;37810;56152;-1080;2005
Брянская область;27;Центральный федеральный округ;2012;1647266;6;89;102;425432;440951;36974;40355;-15519;2006
Брянская область;27;Центральный федеральный округ;2013;175865;7;78;54;449169;486785;48764;44913;-37616;2006
